scenario,readout,origin,step_h,RH_pred,RH_true,level
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,11,43.355,46.72,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,12,44.071,46.97,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,13,44.37,47.012,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,14,44.292,46.744,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,15,43.946,46.242,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,16,43.489,45.687,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,17,42.974,45.251,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,18,42.328,45.011,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,19,41.442,45.143,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,20,40.214,44.935,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,21,38.693,40.006,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,22,36.988,40.303,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,23,35.244,40.925,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,24,33.652,40.684,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,25,32.419,39.919,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,26,31.674,39.425,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,27,31.529,39.247,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,28,32.043,39.402,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,29,33.176,39.685,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,30,34.77,40.24,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,31,36.586,46.535,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,32,38.433,46.384,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,33,40.155,45.884,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,34,41.64,45.039,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,35,42.763,44.211,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,36,43.477,43.686,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,37,43.783,43.411,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,38,43.718,43.299,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,39,43.393,44.012,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,40,42.963,46.223,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,41,42.475,49.419,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,42,41.852,52.785,0
